actual_cost,ccg,date,items,quantity,row_id,row_name,setting
1042.54,14L,01/11/2014,269,8958,P84040,CONRAN MEDICAL CENTRE,4
1965.17,14L,01/11/2014,473,22935,P84041,CORNERSTONE FAMILY PRACTICE,4
1302.74,14L,01/11/2014,319,14009,P84042,FLORENCE HOUSE MEDICAL PRACTICE,4
2538.51,14L,01/11/2014,466,24628,P84043,CORNISHWAY GROUP PRACTICE,4
1440.43,14L,01/11/2014,350,16740,P84045,THE PARK MEDICAL CENTRE,4
1953.45,14L,01/11/2014,473,24314,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,4
2377.12,14L,01/11/2014,323,14405,P84047,DROYLSDEN RD FAMILY PRACTICE,4
1449.94,14L,01/11/2014,429,15989,P84048,TREGENNA GROUP PRACTICE,4
3454.9,14L,01/11/2014,874,37840,P84049,THE AVENUE MEDICAL CENTRE,4
1280.85,14L,01/11/2014,302,13708,P84050,MOUNT ROAD SURGERY,4
1347.49,14L,01/11/2014,309,12378,P84051,EASTLANDS MEDICAL CENTRE,4
1252.99,14L,01/11/2014,324,13890,P84052,WEST GORTON MEDICAL PRACTICE,4
1752.98,14L,01/11/2014,326,16042,P84053,ASHCROFT SURGERY,4
1849.84,14L,01/11/2014,462,17240,P84054,WHITLEY ROAD MEDICAL CENTRE,4
888.36,14L,01/11/2014,196,8411,P84055,MERSEYBANK SURGERY,4
799.04,14L,01/11/2014,222,10138,P84056,PRINCESS ROAD SURGERY,4
1782.27,14L,01/11/2014,439,19015,P84059,LIME SQUARE MEDICAL CENTRE,4
1270.14,14L,01/11/2014,223,9055,P84061,BROOKLANDS MEDICAL PRACTICE,4
315.06,14L,01/11/2014,117,4558,P84062,BROOKDALE SURGERY,4
980.74,14L,01/11/2014,216,7389,P84064,NEW ISLINGTON MEDICAL CENTRE,4
991.71,14L,01/11/2014,229,11740,P84065,THE SINGH MEDICAL PRACTICE,4
940.14,14L,01/11/2014,268,10998,P84066,DAVID MEDICAL CENTRE,4
2472.32,14L,01/11/2014,427,21170,P84067,HAZELDENE MEDICAL CENTRE,4
1408.82,14L,01/11/2014,286,13471,P84068,CHORLTON FAMILY PRACTICE,4
1120.27,14L,01/11/2014,271,13574,P84070,NEWTON HEATH MEDICAL CENTRE,4
1208.37,14L,01/11/2014,188,8469,P84071,WILBRAHAM SURGERY,4
2507.49,14L,01/11/2014,559,27604,P84072,THE ROBERT DARBISHIRE PRACTICE,4
2235.32,14L,01/11/2014,385,20840,P84074,WELLFIELD MEDICAL CENTRE,4
153.12,14L,01/11/2014,32,1090,P84605,FERNCLOUGH SURGERY,4
845.42,14L,01/11/2014,241,11871,P84611,"DR CHIU, KOH AND GAN",4
864.19,14L,01/11/2014,247,12689,P84616,MANCHESTER MEDICAL,4
38.81,14L,01/11/2014,29,1405,P84623,ALEESHAN MEDICAL CENTRE,4
819.72,14L,01/11/2014,227,9309,P84626,WILMSLOW ROAD SURGERY,4
269.3,14L,01/11/2014,88,3684,P84627,DR TIWARI'S PRACTICE,4
2270.6,14L,01/11/2014,346,16562,P84630,THE ARCH MEDICAL PRACTICE,4
783.68,14L,01/11/2014,117,5155,P84631,ARTANE MEDICAL CENTRE,4
367.97,14L,01/11/2014,109,6639,P84635,THE WHITSWOOD PRACTICE,4
562.33,14L,01/11/2014,161,8095,P84637,DR KHAN'S PRACTICE,4
351.49,14L,01/11/2014,88,4143,P84639,FALLOWFIELD MEDICAL CENTRE,4
877.07,14L,01/11/2014,152,7786,P84640,QUEENS MEDICAL CENTRE,4
801.62,14L,01/11/2014,198,11182,P84644,PARKSIDE SURGERY,4
1730.1,14L,01/11/2014,355,15949,P84645,PARK VIEW MEDICAL CENTRE,4
868.58,14L,01/11/2014,180,8583,P84650,THE ALEXANDRA PRACTICE,4
767.3,14L,01/11/2014,175,6996,P84651,NORTHERN MOOR MEDICAL PRACTICE,4
3010.25,14L,01/11/2014,296,14644,P84652,CORKLAND ROAD MEDICAL PRACTICE,4
2843.21,14L,01/11/2014,238,12483,P84663,THE NEVILLE FAMILY CENTRE,4
329.92,14L,01/11/2014,96,3900,P84665,AL-SHIFA MEDICAL CENTRE,4
1667.52,14L,01/11/2014,326,13882,P84669,CORNBROOK MEDICAL PRACTICE,4
1127.33,14L,01/11/2014,191,7589,P84672,WOODLANDS MEDICAL PRACTICE,4
2171.34,14L,01/11/2014,496,19946,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,4
997.68,14L,01/11/2014,188,11964,P84676,OSWALD ROAD MEDICAL PRACTICE,4
666.28,14L,01/11/2014,190,6928,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,4
2304.22,14L,01/11/2014,561,28728,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,4
199.37,14L,01/11/2014,70,3022,P84679,WILLOWBANK SURGERY,4
690.63,14L,01/11/2014,106,5101,P84682,BURNAGE HEALTHCARE PRACTICE,4
938.44,14L,01/11/2014,137,6311,P84683,THE DOC'S SURGERY,4
735.97,14L,01/11/2014,167,9295,P84684,JOLLY MEDICAL CENTRE,4
603.55,14L,01/11/2014,182,12254,P84689,LONGSIGHT MEDICAL PRACTICE,4
457.86,14L,01/11/2014,152,5093,P84690,DAM HEAD MEDICAL CENTRE,4
14.75,14L,01/11/2014,2,120,P84696,COMMUNITY PAEDIATRICIANS,9
2.48,14L,01/11/2014,2,35,Y00490,VIOLENT PATIENT ENHANCED SERVICE 1,9
1565.69,14L,01/11/2014,532,18248,Y00707,PCEC,1
41.09,14L,01/11/2014,5,190,Y01249,BUCCLEUCH LODGE ICF,0
545.52,14L,01/11/2014,149,6129,Y01695,MP VICTORIA MILL,4
26.74,14L,01/11/2014,14,305,Y02210,INTERMEDIATE CARE,9
131.05,14L,01/11/2014,37,1271,Y02211,GORTON PARKS INTERMEDIATE CARE UNIT,9
493.42,14L,01/11/2014,139,7563,Y02325,CHARLESTOWN MD,4
1022.35,14L,01/11/2014,41,7212,Y02330,NURSING HOME PROJECT TEAM (SOUTH),14
533.48,14L,01/11/2014,75,3682,Y02520,SIMPSON MEDICAL PRACTICE,4
4850.84,14L,01/11/2014,1044,68588,Y02591,GTD HEALTHCARE GP SERVICE OOH,2
2198.08,14L,01/11/2014,591,20051,Y02849,CITY HEALTH CENTRE,4
2055.02,14L,01/11/2014,513,28090,Y02890,HAWTHORN MC,4
892.92,14L,01/11/2014,213,13120,Y02960,NEW BANK HEALTH,4
3.15,14L,01/11/2014,3,39,Y03328,TURNING POINT SMITHFIELD SERVICE,9
4.29,14L,01/11/2014,3,35,Y04084,PAHNT COMMUNITY SERVICES,9
1.14,14L,01/11/2014,1,100,Y04085,MFT CHILDRENS COMMUNITY SERVICES,9
16.09,14L,01/11/2014,6,92,Y04086,MFT ADULT COMMUNITY SERVICES,9
4.06,14L,01/11/2014,1,30,Y04087,UHSM COMMUNITY SERVICES,9
10.81,14L,01/11/2014,5,92,Y04380,CRISIS RESPONSE TEAM,9
797.06,14L,01/11/2014,259,12937,Y04477,PRIMARY CARE MANCHESTER LIMITED,0
5.14,14L,01/11/2014,2,61,Y04584,INTERMEDIATE CARE (THE PEELE),0
76.47,14L,01/11/2014,12,240,Y04605,SMGPF,9
3031.1,14L,01/12/2014,507,22595,P84004,FIVE OAKS FAMILIY PRACTICE,4
856.15,14L,01/12/2014,246,10224,P84005,THE VALLANCE CENTRE,4
2535.63,14L,01/12/2014,438,25916,P84009,AILSA CRAIG MEDICAL CENTRE,4
2216.1,14L,01/12/2014,460,20335,P84010,THE BORCHARDT MEDICAL CENTRE,4
4249.1,14L,01/12/2014,890,41375,P84012,NORTHENDEN GROUP PRACTICE,4
1424.85,14L,01/12/2014,453,17831,P84014,RK MEDICAL PRACTICE,4
2748.25,14L,01/12/2014,563,32530,P84016,LEVENSHULME MEDICAL PRACTICE,4
2681.89,14L,01/12/2014,630,28458,P84017,LADYBARN GROUP PRACTICE,4
885.48,14L,01/12/2014,232,8551,P84018,MAULDETH MEDICAL CENTRE,4
4720.35,14L,01/12/2014,838,38340,P84019,VALENTINE MEDICAL CENTRE,4
2920.61,14L,01/12/2014,739,31370,P84020,PEEL HALL MEDICAL CENTRE,4
3359.05,14L,01/12/2014,630,29715,P84021,THE MAPLES MEDICAL CENTRE,4
1790.76,14L,01/12/2014,396,15853,P84022,KINGSWAY MEDICAL PRACTICE,4
1879.16,14L,01/12/2014,455,20889,P84023,SURREY LODGE PRACTICE,4
3754.02,14L,01/12/2014,880,43766,P84024,BOWLAND MEDICAL PRACTICE,4
2975.33,14L,01/12/2014,728,36228,P84025,ST GEORGE'S MEDICAL CENTRE,4
1161.21,14L,01/12/2014,304,18103,P84026,DICKENSON ROAD MEDICAL CENTRE,4
1546.46,14L,01/12/2014,331,15009,P84027,WEST POINT MEDICAL CENTRE,4
2496.34,14L,01/12/2014,729,30037,P84028,GORTON MEDICAL CENTRE,4
4610.8,14L,01/12/2014,943,48532,P84029,BENCHILL MEDICAL PRACTICE,4
4043.03,14L,01/12/2014,805,43422,P84030,NEW COLLEGIATE MEDICAL CENTRE,4
3810.84,14L,01/12/2014,438,23262,P84032,DRS HANIF & BANNURU,4
1211.55,14L,01/12/2014,237,12018,P84033,BEACON MEDICAL CENTRE,4
3501.46,14L,01/12/2014,594,31490,P84034,BARLOW MEDICAL CENTRE,4
3019.15,14L,01/12/2014,754,26682,P84035,BODEY MEDICAL CENTRE,4
1667.51,14L,01/12/2014,408,21826,P84037,DR CUNNINGHAM & PARTNERS,4
2242.14,14L,01/12/2014,360,22110,P84038,ASHVILLE SURGERY,4
928.03,14L,01/12/2014,215,12170,P84039,THE RANGE MEDICAL CENTRE,4
1783.98,14L,01/12/2014,413,17740,P84040,CONRAN MEDICAL CENTRE,4
2217.51,14L,01/12/2014,630,28302,P84041,CORNERSTONE FAMILY PRACTICE,4
1500.66,14L,01/12/2014,408,18367,P84042,FLORENCE HOUSE MEDICAL PRACTICE,4
3070.55,14L,01/12/2014,662,33097,P84043,CORNISHWAY GROUP PRACTICE,4
1627.34,14L,01/12/2014,476,19301,P84045,THE PARK MEDICAL CENTRE,4
2114.35,14L,01/12/2014,527,25063,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,4
1913.34,14L,01/12/2014,450,16565,P84047,DROYLSDEN RD FAMILY PRACTICE,4
1913.96,14L,01/12/2014,577,20873,P84048,TREGENNA GROUP PRACTICE,4
3906.84,14L,01/12/2014,1056,52896,P84049,THE AVENUE MEDICAL CENTRE,4
1723.81,14L,01/12/2014,372,18616,P84050,MOUNT ROAD SURGERY,4
1754.36,14L,01/12/2014,396,17621,P84051,EASTLANDS MEDICAL CENTRE,4
1515.09,14L,01/12/2014,445,20632,P84052,WEST GORTON MEDICAL PRACTICE,4
1729.99,14L,01/12/2014,400,21408,P84053,ASHCROFT SURGERY,4
2143.97,14L,01/12/2014,552,23665,P84054,WHITLEY ROAD MEDICAL CENTRE,4
1070.62,14L,01/12/2014,324,12919,P84055,MERSEYBANK SURGERY,4
1214.16,14L,01/12/2014,348,17669,P84056,PRINCESS ROAD SURGERY,4
2662.95,14L,01/12/2014,606,29125,P84059,LIME SQUARE MEDICAL CENTRE,4
1380.71,14L,01/12/2014,342,13360,P84061,BROOKLANDS MEDICAL PRACTICE,4
460.68,14L,01/12/2014,178,6989,P84062,BROOKDALE SURGERY,4
1009.08,14L,01/12/2014,225,8943,P84064,NEW ISLINGTON MEDICAL CENTRE,4
1191.02,14L,01/12/2014,301,13084,P84065,THE SINGH MEDICAL PRACTICE,4
1261.91,14L,01/12/2014,336,13867,P84066,DAVID MEDICAL CENTRE,4
2847.4,14L,01/12/2014,589,31680,P84067,HAZELDENE MEDICAL CENTRE,4
1612.72,14L,01/12/2014,374,16573,P84068,CHORLTON FAMILY PRACTICE,4
1504.9,14L,01/12/2014,359,17313,P84070,NEWTON HEATH MEDICAL CENTRE,4
1594.48,14L,01/12/2014,296,13003,P84071,WILBRAHAM SURGERY,4
2678.41,14L,01/12/2014,635,31460,P84072,THE ROBERT DARBISHIRE PRACTICE,4
2399.67,14L,01/12/2014,501,30894,P84074,WELLFIELD MEDICAL CENTRE,4
27.26,14L,01/12/2014,12,588,P84605,FERNCLOUGH SURGERY,4
1606.64,14L,01/12/2014,330,18602,P84611,"DR CHIU, KOH AND GAN",4
1227.88,14L,01/12/2014,326,16599,P84616,MANCHESTER MEDICAL,4
83.11,14L,01/12/2014,58,2355,P84623,ALEESHAN MEDICAL CENTRE,4
1022.22,14L,01/12/2014,343,14660,P84626,WILMSLOW ROAD SURGERY,4
373.99,14L,01/12/2014,132,6377,P84627,DR TIWARI'S PRACTICE,4
2166.61,14L,01/12/2014,383,18538,P84630,THE ARCH MEDICAL PRACTICE,4
833.38,14L,01/12/2014,169,7501,P84631,ARTANE MEDICAL CENTRE,4
771.34,14L,01/12/2014,170,8552,P84635,THE WHITSWOOD PRACTICE,4
606.32,14L,01/12/2014,182,8780,P84637,DR KHAN'S PRACTICE,4
463.02,14L,01/12/2014,64,3018,P84639,FALLOWFIELD MEDICAL CENTRE,4
1011.31,14L,01/12/2014,167,8837,P84640,QUEENS MEDICAL CENTRE,4
1447.58,14L,01/12/2014,271,15736,P84644,PARKSIDE SURGERY,4
2462.52,14L,01/12/2014,410,19662,P84645,PARK VIEW MEDICAL CENTRE,4
1531.58,14L,01/12/2014,291,14277,P84650,THE ALEXANDRA PRACTICE,4
677.21,14L,01/12/2014,189,7302,P84651,NORTHERN MOOR MEDICAL PRACTICE,4
3304.19,14L,01/12/2014,408,21956,P84652,CORKLAND ROAD MEDICAL PRACTICE,4
2669.3,14L,01/12/2014,319,13706,P84663,THE NEVILLE FAMILY CENTRE,4
295.93,14L,01/12/2014,154,5671,P84665,AL-SHIFA MEDICAL CENTRE,4
1527.53,14L,01/12/2014,367,16738,P84669,CORNBROOK MEDICAL PRACTICE,4
1673.25,14L,01/12/2014,298,12119,P84672,WOODLANDS MEDICAL PRACTICE,4
2609.86,14L,01/12/2014,657,26306,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,4
1161.38,14L,01/12/2014,267,14245,P84676,OSWALD ROAD MEDICAL PRACTICE,4
723.62,14L,01/12/2014,217,8477,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,4
2678.87,14L,01/12/2014,742,35530,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,4
270.98,14L,01/12/2014,100,4278,P84679,WILLOWBANK SURGERY,4
695.34,14L,01/12/2014,141,5938,P84682,BURNAGE HEALTHCARE PRACTICE,4
1112.4,14L,01/12/2014,178,7918,P84683,THE DOC'S SURGERY,4
781.25,14L,01/12/2014,189,9197,P84684,JOLLY MEDICAL CENTRE,4
1014.27,14L,01/12/2014,257,17088,P84689,LONGSIGHT MEDICAL PRACTICE,4
580.28,14L,01/12/2014,186,6628,P84690,DAM HEAD MEDICAL CENTRE,4
17.3,14L,01/12/2014,5,342,Y00490,VIOLENT PATIENT ENHANCED SERVICE 1,9
2428.36,14L,01/12/2014,716,28027,Y00707,PCEC,1
1.78,14L,01/12/2014,2,25,Y01249,BUCCLEUCH LODGE ICF,0
1896.59,14L,01/12/2014,178,8241,Y01695,MP VICTORIA MILL,4
76.35,14L,01/12/2014,14,278,Y02210,INTERMEDIATE CARE,9
1298.95,14L,01/12/2014,37,1318,Y02211,GORTON PARKS INTERMEDIATE CARE UNIT,9
544.41,14L,01/12/2014,135,7214,Y02325,CHARLESTOWN MD,4
777.18,14L,01/12/2014,81,10501,Y02330,NURSING HOME PROJECT TEAM (SOUTH),14
1160.12,14L,01/12/2014,222,10760,Y02520,SIMPSON MEDICAL PRACTICE,4
6431.02,14L,01/12/2014,1524,95842,Y02591,GTD HEALTHCARE GP SERVICE OOH,2
2927,14L,01/12/2014,854,31248,Y02849,CITY HEALTH CENTRE,4
2341.75,14L,01/12/2014,556,34098,Y02890,HAWTHORN MC,4
1193.27,14L,01/12/2014,301,18807,Y02960,NEW BANK HEALTH,4
19.34,14L,01/12/2014,6,97,Y03328,TURNING POINT SMITHFIELD SERVICE,9
5.68,14L,01/12/2014,4,55,Y04084,PAHNT COMMUNITY SERVICES,9
1.12,14L,01/12/2014,1,15,Y04085,MFT CHILDRENS COMMUNITY SERVICES,9
16.34,14L,01/12/2014,7,148,Y04086,MFT ADULT COMMUNITY SERVICES,9
7.15,14L,01/12/2014,3,421,Y04087,UHSM COMMUNITY SERVICES,9
53.35,14L,01/12/2014,9,293,Y04380,CRISIS RESPONSE TEAM,9
925.07,14L,01/12/2014,279,16522,Y04477,PRIMARY CARE MANCHESTER LIMITED,0
23.63,14L,01/12/2014,5,70,Y04584,INTERMEDIATE CARE (THE PEELE),0
48.32,14L,01/12/2014,15,558,Y04605,SMGPF,9
2696.91,14L,01/01/2015,448,20305,P84004,FIVE OAKS FAMILIY PRACTICE,4
787.84,14L,01/01/2015,209,7130,P84005,THE VALLANCE CENTRE,4
2168.6,14L,01/01/2015,371,18718,P84009,AILSA CRAIG MEDICAL CENTRE,4
1891.61,14L,01/01/2015,385,16307,P84010,THE BORCHARDT MEDICAL CENTRE,4
3160.19,14L,01/01/2015,736,30681,P84012,NORTHENDEN GROUP PRACTICE,4
1852.2,14L,01/01/2015,466,17089,P84014,RK MEDICAL PRACTICE,4
1715.39,14L,01/01/2015,409,19456,P84016,LEVENSHULME MEDICAL PRACTICE,4
2680.64,14L,01/01/2015,531,21071,P84017,LADYBARN GROUP PRACTICE,4
1618.24,14L,01/01/2015,262,9801,P84018,MAULDETH MEDICAL CENTRE,4
3957.68,14L,01/01/2015,728,30872,P84019,VALENTINE MEDICAL CENTRE,4
2454.43,14L,01/01/2015,569,22376,P84020,PEEL HALL MEDICAL CENTRE,4
2589.15,14L,01/01/2015,541,23555,P84021,THE MAPLES MEDICAL CENTRE,4
1406.39,14L,01/01/2015,364,14294,P84022,KINGSWAY MEDICAL PRACTICE,4
1713.82,14L,01/01/2015,403,17148,P84023,SURREY LODGE PRACTICE,4
4385.35,14L,01/01/2015,814,34273,P84024,BOWLAND MEDICAL PRACTICE,4
3172.92,14L,01/01/2015,672,32604,P84025,ST GEORGE'S MEDICAL CENTRE,4
1138.79,14L,01/01/2015,256,12707,P84026,DICKENSON ROAD MEDICAL CENTRE,4
1574.67,14L,01/01/2015,311,14201,P84027,WEST POINT MEDICAL CENTRE,4
2766.01,14L,01/01/2015,737,30169,P84028,GORTON MEDICAL CENTRE,4
4927.23,14L,01/01/2015,918,43922,P84029,BENCHILL MEDICAL PRACTICE,4
4559.42,14L,01/01/2015,630,34345,P84030,NEW COLLEGIATE MEDICAL CENTRE,4
2077.08,14L,01/01/2015,492,21569,P84032,DRS HANIF & BANNURU,4
904.67,14L,01/01/2015,192,8570,P84033,BEACON MEDICAL CENTRE,4
2823.32,14L,01/01/2015,539,22638,P84034,BARLOW MEDICAL CENTRE,4
4011.7,14L,01/01/2015,640,23612,P84035,BODEY MEDICAL CENTRE,4
1519.57,14L,01/01/2015,364,15980,P84037,DR CUNNINGHAM & PARTNERS,4
2209.57,14L,01/01/2015,301,15009,P84038,ASHVILLE SURGERY,4
1537.93,14L,01/01/2015,328,13475,P84039,THE RANGE MEDICAL CENTRE,4
1895.89,14L,01/01/2015,373,13562,P84040,CONRAN MEDICAL CENTRE,4
2487.55,14L,01/01/2015,505,22746,P84041,CORNERSTONE FAMILY PRACTICE,4
1674.19,14L,01/01/2015,410,16497,P84042,FLORENCE HOUSE MEDICAL PRACTICE,4
3267.22,14L,01/01/2015,616,26876,P84043,CORNISHWAY GROUP PRACTICE,4
1609.09,14L,01/01/2015,395,16749,P84045,THE PARK MEDICAL CENTRE,4
2575.5,14L,01/01/2015,548,26046,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,4
2678.57,14L,01/01/2015,348,14309,P84047,DROYLSDEN RD FAMILY PRACTICE,4
2011.7,14L,01/01/2015,531,18947,P84048,TREGENNA GROUP PRACTICE,4
4389.12,14L,01/01/2015,1050,43838,P84049,THE AVENUE MEDICAL CENTRE,4
1778.73,14L,01/01/2015,307,15980,P84050,MOUNT ROAD SURGERY,4
1970.76,14L,01/01/2015,396,15693,P84051,EASTLANDS MEDICAL CENTRE,4
1541.46,14L,01/01/2015,417,18239,P84052,WEST GORTON MEDICAL PRACTICE,4
2243.28,14L,01/01/2015,417,20941,P84053,ASHCROFT SURGERY,4
1875.21,14L,01/01/2015,440,15649,P84054,WHITLEY ROAD MEDICAL CENTRE,4
1127.24,14L,01/01/2015,242,9022,P84055,MERSEYBANK SURGERY,4
799.89,14L,01/01/2015,205,8047,P84056,PRINCESS ROAD SURGERY,4
2064.8,14L,01/01/2015,467,22175,P84059,LIME SQUARE MEDICAL CENTRE,4
1697.53,14L,01/01/2015,288,11989,P84061,BROOKLANDS MEDICAL PRACTICE,4
365.31,14L,01/01/2015,123,5725,P84062,BROOKDALE SURGERY,4
994.92,14L,01/01/2015,206,8151,P84064,NEW ISLINGTON MEDICAL CENTRE,4
888.3,14L,01/01/2015,238,10734,P84065,THE SINGH MEDICAL PRACTICE,4
1190.7,14L,01/01/2015,330,12845,P84066,DAVID MEDICAL CENTRE,4
2619.73,14L,01/01/2015,526,23855,P84067,HAZELDENE MEDICAL CENTRE,4
1519.35,14L,01/01/2015,328,14215,P84068,CHORLTON FAMILY PRACTICE,4
1463.48,14L,01/01/2015,330,16227,P84070,NEWTON HEATH MEDICAL CENTRE,4
1607.26,14L,01/01/2015,262,9999,P84071,WILBRAHAM SURGERY,4
2723.59,14L,01/01/2015,550,22119,P84072,THE ROBERT DARBISHIRE PRACTICE,4
2374.22,14L,01/01/2015,483,21811,P84074,WELLFIELD MEDICAL CENTRE,4
31.6,14L,01/01/2015,10,378,P84605,FERNCLOUGH SURGERY,4
1265.95,14L,01/01/2015,289,12262,P84611,"DR CHIU, KOH AND GAN",4
912.9,14L,01/01/2015,254,12403,P84616,MANCHESTER MEDICAL,4
92.6,14L,01/01/2015,40,1559,P84623,ALEESHAN MEDICAL CENTRE,4
902.74,14L,01/01/2015,281,10600,P84626,WILMSLOW ROAD SURGERY,4
401.17,14L,01/01/2015,102,3876,P84627,DR TIWARI'S PRACTICE,4
2274.41,14L,01/01/2015,355,17546,P84630,THE ARCH MEDICAL PRACTICE,4
828.8,14L,01/01/2015,140,6054,P84631,ARTANE MEDICAL CENTRE,4
567.88,14L,01/01/2015,117,5486,P84635,THE WHITSWOOD PRACTICE,4
489.13,14L,01/01/2015,150,6541,P84637,DR KHAN'S PRACTICE,4
367.06,14L,01/01/2015,72,3665,P84639,FALLOWFIELD MEDICAL CENTRE,4
855.82,14L,01/01/2015,138,6512,P84640,QUEENS MEDICAL CENTRE,4
688.51,14L,01/01/2015,191,8192,P84644,PARKSIDE SURGERY,4
1927.02,14L,01/01/2015,366,14587,P84645,PARK VIEW MEDICAL CENTRE,4
1291.47,14L,01/01/2015,252,10986,P84650,THE ALEXANDRA PRACTICE,4
789.16,14L,01/01/2015,177,6885,P84651,NORTHERN MOOR MEDICAL PRACTICE,4
3394.9,14L,01/01/2015,337,16056,P84652,CORKLAND ROAD MEDICAL PRACTICE,4
2663.6,14L,01/01/2015,249,10366,P84663,THE NEVILLE FAMILY CENTRE,4
355.96,14L,01/01/2015,124,4607,P84665,AL-SHIFA MEDICAL CENTRE,4
1503.26,14L,01/01/2015,330,12501,P84669,CORNBROOK MEDICAL PRACTICE,4
977.23,14L,01/01/2015,260,8117,P84672,WOODLANDS MEDICAL PRACTICE,4
2069.09,14L,01/01/2015,482,15158,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,4
979.22,14L,01/01/2015,216,10802,P84676,OSWALD ROAD MEDICAL PRACTICE,4
1353.2,14L,01/01/2015,298,11242,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,4
2275.65,14L,01/01/2015,503,20821,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,4
608.54,14L,01/01/2015,121,4655,P84679,WILLOWBANK SURGERY,4
734.26,14L,01/01/2015,128,5789,P84682,BURNAGE HEALTHCARE PRACTICE,4
707.89,14L,01/01/2015,141,5012,P84683,THE DOC'S SURGERY,4
661.73,14L,01/01/2015,169,6259,P84684,JOLLY MEDICAL CENTRE,4
927.65,14L,01/01/2015,218,11987,P84689,LONGSIGHT MEDICAL PRACTICE,4
811.17,14L,01/01/2015,152,5734,P84690,DAM HEAD MEDICAL CENTRE,4
24.82,14L,01/01/2015,1,1200,P84696,COMMUNITY PAEDIATRICIANS,9
2161.02,14L,01/01/2015,614,21483,Y00707,PCEC,1
26.78,14L,01/01/2015,11,264,Y01249,BUCCLEUCH LODGE ICF,0
740.24,14L,01/01/2015,147,5585,Y01695,MP VICTORIA MILL,4
4.05,14L,01/01/2015,2,36,Y01844,EAR & NOSE CLINIC,9
50.72,14L,01/01/2015,13,252,Y02210,INTERMEDIATE CARE,9
206.53,14L,01/01/2015,33,806,Y02211,GORTON PARKS INTERMEDIATE CARE UNIT,9
682.63,14L,01/01/2015,105,4373,Y02325,CHARLESTOWN MD,4
619.5,14L,01/01/2015,101,11367,Y02330,NURSING HOME PROJECT TEAM (SOUTH),14
1493.13,14L,01/01/2015,218,12424,Y02520,SIMPSON MEDICAL PRACTICE,4
