date,row_id,row_name,total_list_size
2014-11-01,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,9540
2014-11-01,P84047,DROYLSDEN RD FAMILY PRACTICE,4885
2014-11-01,P84048,TREGENNA GROUP PRACTICE,6558
2014-11-01,P84049,THE AVENUE MEDICAL CENTRE,9845
2014-11-01,P84050,MOUNT ROAD SURGERY,7242
2014-11-01,P84051,EASTLANDS MEDICAL CENTRE,5320
2014-11-01,P84052,WEST GORTON MEDICAL PRACTICE,6288
2014-11-01,P84053,ASHCROFT SURGERY,8036
2014-11-01,P84054,WHITLEY ROAD MEDICAL CENTRE,6588
2014-11-01,P84055,MERSEYBANK SURGERY,2586
2014-11-01,P84056,PRINCESS ROAD SURGERY,4482
2014-11-01,P84059,LIME SQUARE MEDICAL CENTRE,5676
2014-11-01,P84061,BROOKLANDS MEDICAL PRACTICE,5479
2014-11-01,P84062,BROOKDALE SURGERY,2830
2014-11-01,P84064,NEW ISLINGTON MEDICAL CENTRE,3840
2014-11-01,P84065,THE SINGH MEDICAL PRACTICE,3695
2014-11-01,P84066,DAVID MEDICAL CENTRE,4157
2014-11-01,P84067,HAZELDENE MEDICAL CENTRE,6584
2014-11-01,P84068,CHORLTON FAMILY PRACTICE,9847
2014-11-01,P84070,NEWTON HEATH MEDICAL CENTRE,5469
2014-11-01,P84071,WILBRAHAM SURGERY,4206
2014-11-01,P84072,THE ROBERT DARBISHIRE PRACTICE,19985
2014-11-01,P84074,WELLFIELD MEDICAL CENTRE,9387
2014-11-01,P84605,FERNCLOUGH SURGERY,2154
2014-11-01,P84611,"DR CHIU, KOH AND GAN",5822
2014-11-01,P84616,MANCHESTER MEDICAL,6529
2014-11-01,P84623,ALEESHAN MEDICAL CENTRE,1297
2014-11-01,P84626,WILMSLOW ROAD SURGERY,4614
2014-11-01,P84627,DR TIWARI'S PRACTICE,1825
2014-11-01,P84630,THE ARCH MEDICAL PRACTICE,12381
2014-11-01,P84631,ARTANE MEDICAL CENTRE,2005
2014-11-01,P84635,THE WHITSWOOD PRACTICE,3488
2014-11-01,P84637,DR KHAN'S PRACTICE,2547
2014-11-01,P84639,FALLOWFIELD MEDICAL CENTRE,2111
2014-11-01,P84640,QUEENS MEDICAL CENTRE,3143
2014-11-01,P84644,PARKSIDE SURGERY,3793
2014-11-01,P84645,PARK VIEW MEDICAL CENTRE,6179
2014-11-01,P84650,THE ALEXANDRA PRACTICE,5909
2014-11-01,P84651,NORTHERN MOOR MEDICAL PRACTICE,2949
2014-11-01,P84652,CORKLAND ROAD MEDICAL PRACTICE,6810
2014-11-01,P84663,THE NEVILLE FAMILY CENTRE,4060
2014-11-01,P84665,AL-SHIFA MEDICAL CENTRE,2749
2014-11-01,P84669,CORNBROOK MEDICAL PRACTICE,9992
2014-11-01,P84672,WOODLANDS MEDICAL PRACTICE,3023
2014-11-01,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,9102
2014-11-01,P84676,OSWALD ROAD MEDICAL PRACTICE,4452
2014-11-01,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,5574
2014-11-01,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,7534
2014-11-01,P84679,WILLOWBANK SURGERY,1606
2014-11-01,P84682,BURNAGE HEALTHCARE PRACTICE,2330
2014-11-01,P84683,THE DOC'S SURGERY,6256
2014-11-01,P84684,JOLLY MEDICAL CENTRE,3137
2014-11-01,P84689,LONGSIGHT MEDICAL PRACTICE,4730
2014-11-01,P84690,DAM HEAD MEDICAL CENTRE,2651
2014-11-01,Y01695,MP VICTORIA MILL,2437
2014-11-01,Y02325,CHARLESTOWN MD,3300
2014-11-01,Y02520,SIMPSON MEDICAL PRACTICE,4720
2014-11-01,Y02849,CITY HEALTH CENTRE,7338
2014-11-01,Y02890,HAWTHORN MC,3794
2014-11-01,Y02960,NEW BANK HEALTH,5016
2014-12-01,P84004,FIVE OAKS FAMILIY PRACTICE,8819
2014-12-01,P84005,THE VALLANCE CENTRE,7223
2014-12-01,P84009,AILSA CRAIG MEDICAL CENTRE,9342
2014-12-01,P84010,THE BORCHARDT MEDICAL CENTRE,11108
2014-12-01,P84012,NORTHENDEN GROUP PRACTICE,11028
2014-12-01,P84014,RK MEDICAL PRACTICE,4287
2014-12-01,P84016,LEVENSHULME MEDICAL PRACTICE,6865
2014-12-01,P84017,LADYBARN GROUP PRACTICE,10222
2014-12-01,P84018,MAULDETH MEDICAL CENTRE,6153
2014-12-01,P84019,VALENTINE MEDICAL CENTRE,10524
2014-12-01,P84020,PEEL HALL MEDICAL CENTRE,8397
2014-12-01,P84021,THE MAPLES MEDICAL CENTRE,7722
2014-12-01,P84022,KINGSWAY MEDICAL PRACTICE,5818
2014-12-01,P84023,SURREY LODGE PRACTICE,8106
2014-12-01,P84024,BOWLAND MEDICAL PRACTICE,7579
2014-12-01,P84025,ST GEORGE'S MEDICAL CENTRE,7100
2014-12-01,P84026,DICKENSON ROAD MEDICAL CENTRE,6303
2014-12-01,P84027,WEST POINT MEDICAL CENTRE,7247
2014-12-01,P84028,GORTON MEDICAL CENTRE,8330
2014-12-01,P84029,BENCHILL MEDICAL PRACTICE,9334
2014-12-01,P84030,NEW COLLEGIATE MEDICAL CENTRE,13039
2014-12-01,P84032,DRS HANIF & BANNURU,6462
2014-12-01,P84033,BEACON MEDICAL CENTRE,3839
2014-12-01,P84034,BARLOW MEDICAL CENTRE,13424
2014-12-01,P84035,BODEY MEDICAL CENTRE,16620
2014-12-01,P84037,DR CUNNINGHAM & PARTNERS,6825
2014-12-01,P84038,ASHVILLE SURGERY,7899
2014-12-01,P84039,THE RANGE MEDICAL CENTRE,8228
2014-12-01,P84040,CONRAN MEDICAL CENTRE,4869
2014-12-01,P84041,CORNERSTONE FAMILY PRACTICE,6073
2014-12-01,P84042,FLORENCE HOUSE MEDICAL PRACTICE,7775
2014-12-01,P84043,CORNISHWAY GROUP PRACTICE,8860
2014-12-01,P84045,THE PARK MEDICAL CENTRE,5119
2014-12-01,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,9540
2014-12-01,P84047,DROYLSDEN RD FAMILY PRACTICE,4885
2014-12-01,P84048,TREGENNA GROUP PRACTICE,6558
2014-12-01,P84049,THE AVENUE MEDICAL CENTRE,9845
2014-12-01,P84050,MOUNT ROAD SURGERY,7242
2014-12-01,P84051,EASTLANDS MEDICAL CENTRE,5320
2014-12-01,P84052,WEST GORTON MEDICAL PRACTICE,6288
2014-12-01,P84053,ASHCROFT SURGERY,8036
2014-12-01,P84054,WHITLEY ROAD MEDICAL CENTRE,6588
2014-12-01,P84055,MERSEYBANK SURGERY,2586
2014-12-01,P84056,PRINCESS ROAD SURGERY,4482
2014-12-01,P84059,LIME SQUARE MEDICAL CENTRE,5676
2014-12-01,P84061,BROOKLANDS MEDICAL PRACTICE,5479
2014-12-01,P84062,BROOKDALE SURGERY,2830
2014-12-01,P84064,NEW ISLINGTON MEDICAL CENTRE,3840
2014-12-01,P84065,THE SINGH MEDICAL PRACTICE,3695
2014-12-01,P84066,DAVID MEDICAL CENTRE,4157
2014-12-01,P84067,HAZELDENE MEDICAL CENTRE,6584
2014-12-01,P84068,CHORLTON FAMILY PRACTICE,9847
2014-12-01,P84070,NEWTON HEATH MEDICAL CENTRE,5469
2014-12-01,P84071,WILBRAHAM SURGERY,4206
2014-12-01,P84072,THE ROBERT DARBISHIRE PRACTICE,19985
2014-12-01,P84074,WELLFIELD MEDICAL CENTRE,9387
2014-12-01,P84605,FERNCLOUGH SURGERY,2154
2014-12-01,P84611,"DR CHIU, KOH AND GAN",5822
2014-12-01,P84616,MANCHESTER MEDICAL,6529
2014-12-01,P84623,ALEESHAN MEDICAL CENTRE,1297
2014-12-01,P84626,WILMSLOW ROAD SURGERY,4614
2014-12-01,P84627,DR TIWARI'S PRACTICE,1825
2014-12-01,P84630,THE ARCH MEDICAL PRACTICE,12381
2014-12-01,P84631,ARTANE MEDICAL CENTRE,2005
2014-12-01,P84635,THE WHITSWOOD PRACTICE,3488
2014-12-01,P84637,DR KHAN'S PRACTICE,2547
2014-12-01,P84639,FALLOWFIELD MEDICAL CENTRE,2111
2014-12-01,P84640,QUEENS MEDICAL CENTRE,3143
2014-12-01,P84644,PARKSIDE SURGERY,3793
2014-12-01,P84645,PARK VIEW MEDICAL CENTRE,6179
2014-12-01,P84650,THE ALEXANDRA PRACTICE,5909
2014-12-01,P84651,NORTHERN MOOR MEDICAL PRACTICE,2949
2014-12-01,P84652,CORKLAND ROAD MEDICAL PRACTICE,6810
2014-12-01,P84663,THE NEVILLE FAMILY CENTRE,4060
2014-12-01,P84665,AL-SHIFA MEDICAL CENTRE,2749
2014-12-01,P84669,CORNBROOK MEDICAL PRACTICE,9992
2014-12-01,P84672,WOODLANDS MEDICAL PRACTICE,3023
2014-12-01,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,9102
2014-12-01,P84676,OSWALD ROAD MEDICAL PRACTICE,4452
2014-12-01,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,5574
2014-12-01,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,7534
2014-12-01,P84679,WILLOWBANK SURGERY,1606
2014-12-01,P84682,BURNAGE HEALTHCARE PRACTICE,2330
2014-12-01,P84683,THE DOC'S SURGERY,6256
2014-12-01,P84684,JOLLY MEDICAL CENTRE,3137
2014-12-01,P84689,LONGSIGHT MEDICAL PRACTICE,4730
2014-12-01,P84690,DAM HEAD MEDICAL CENTRE,2651
2014-12-01,Y01695,MP VICTORIA MILL,2437
2014-12-01,Y02325,CHARLESTOWN MD,3300
2014-12-01,Y02520,SIMPSON MEDICAL PRACTICE,4720
2014-12-01,Y02849,CITY HEALTH CENTRE,7338
2014-12-01,Y02890,HAWTHORN MC,3794
2014-12-01,Y02960,NEW BANK HEALTH,5016
2015-01-01,P84004,FIVE OAKS FAMILIY PRACTICE,8814
2015-01-01,P84005,THE VALLANCE CENTRE,7190
2015-01-01,P84009,AILSA CRAIG MEDICAL CENTRE,9336
2015-01-01,P84010,THE BORCHARDT MEDICAL CENTRE,11029
2015-01-01,P84012,NORTHENDEN GROUP PRACTICE,11016
2015-01-01,P84014,RK MEDICAL PRACTICE,4300
2015-01-01,P84016,LEVENSHULME MEDICAL PRACTICE,6889
2015-01-01,P84017,LADYBARN GROUP PRACTICE,10268
2015-01-01,P84018,MAULDETH MEDICAL CENTRE,5991
2015-01-01,P84019,VALENTINE MEDICAL CENTRE,10519
2015-01-01,P84020,PEEL HALL MEDICAL CENTRE,8378
2015-01-01,P84021,THE MAPLES MEDICAL CENTRE,7724
2015-01-01,P84022,KINGSWAY MEDICAL PRACTICE,5831
2015-01-01,P84023,SURREY LODGE PRACTICE,8320
2015-01-01,P84024,BOWLAND MEDICAL PRACTICE,7558
2015-01-01,P84025,ST GEORGE'S MEDICAL CENTRE,7065
2015-01-01,P84026,DICKENSON ROAD MEDICAL CENTRE,6361
2015-01-01,P84027,WEST POINT MEDICAL CENTRE,7232
2015-01-01,P84028,GORTON MEDICAL CENTRE,8257
2015-01-01,P84029,BENCHILL MEDICAL PRACTICE,9432
2015-01-01,P84030,NEW COLLEGIATE MEDICAL CENTRE,13073
2015-01-01,P84032,DRS HANIF & BANNURU,6482
2015-01-01,P84033,BEACON MEDICAL CENTRE,3834
2015-01-01,P84034,BARLOW MEDICAL CENTRE,13439
2015-01-01,P84035,BODEY MEDICAL CENTRE,16592
2015-01-01,P84037,DR CUNNINGHAM & PARTNERS,6913
2015-01-01,P84038,ASHVILLE SURGERY,7955
2015-01-01,P84039,THE RANGE MEDICAL CENTRE,8179
2015-01-01,P84040,CONRAN MEDICAL CENTRE,4977
2015-01-01,P84041,CORNERSTONE FAMILY PRACTICE,6118
2015-01-01,P84042,FLORENCE HOUSE MEDICAL PRACTICE,7881
2015-01-01,P84043,CORNISHWAY GROUP PRACTICE,8832
2015-01-01,P84045,THE PARK MEDICAL CENTRE,5114
2015-01-01,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,9720
2015-01-01,P84047,DROYLSDEN RD FAMILY PRACTICE,4853
2015-01-01,P84048,TREGENNA GROUP PRACTICE,6570
2015-01-01,P84049,THE AVENUE MEDICAL CENTRE,9872
2015-01-01,P84050,MOUNT ROAD SURGERY,7277
2015-01-01,P84051,EASTLANDS MEDICAL CENTRE,5288
2015-01-01,P84052,WEST GORTON MEDICAL PRACTICE,6322
2015-01-01,P84053,ASHCROFT SURGERY,7974
2015-01-01,P84054,WHITLEY ROAD MEDICAL CENTRE,6599
2015-01-01,P84055,MERSEYBANK SURGERY,2593
2015-01-01,P84056,PRINCESS ROAD SURGERY,4505
2015-01-01,P84059,LIME SQUARE MEDICAL CENTRE,5728
2015-01-01,P84061,BROOKLANDS MEDICAL PRACTICE,5543
2015-01-01,P84062,BROOKDALE SURGERY,2825
2015-01-01,P84064,NEW ISLINGTON MEDICAL CENTRE,3887
2015-01-01,P84065,THE SINGH MEDICAL PRACTICE,3699
2015-01-01,P84066,DAVID MEDICAL CENTRE,4146
2015-01-01,P84067,HAZELDENE MEDICAL CENTRE,6571
2015-01-01,P84068,CHORLTON FAMILY PRACTICE,9731
2015-01-01,P84070,NEWTON HEATH MEDICAL CENTRE,5452
2015-01-01,P84071,WILBRAHAM SURGERY,4196
2015-01-01,P84072,THE ROBERT DARBISHIRE PRACTICE,19797
2015-01-01,P84074,WELLFIELD MEDICAL CENTRE,9588
2015-01-01,P84605,FERNCLOUGH SURGERY,2159
2015-01-01,P84611,"DR CHIU, KOH AND GAN",5842
2015-01-01,P84616,MANCHESTER MEDICAL,6539
2015-01-01,P84623,ALEESHAN MEDICAL CENTRE,1304
2015-01-01,P84626,WILMSLOW ROAD SURGERY,4654
2015-01-01,P84627,DR TIWARI'S PRACTICE,1862
2015-01-01,P84630,THE ARCH MEDICAL PRACTICE,12762
2015-01-01,P84631,ARTANE MEDICAL CENTRE,1996
2015-01-01,P84635,THE WHITSWOOD PRACTICE,3523
2015-01-01,P84637,DR KHAN'S PRACTICE,2559
2015-01-01,P84639,FALLOWFIELD MEDICAL CENTRE,2118
2015-01-01,P84640,QUEENS MEDICAL CENTRE,3100
2015-01-01,P84644,PARKSIDE SURGERY,3872
2015-01-01,P84645,PARK VIEW MEDICAL CENTRE,6236
2015-01-01,P84650,THE ALEXANDRA PRACTICE,5895
2015-01-01,P84651,NORTHERN MOOR MEDICAL PRACTICE,2953
2015-01-01,P84652,CORKLAND ROAD MEDICAL PRACTICE,6883
2015-01-01,P84663,THE NEVILLE FAMILY CENTRE,4028
2015-01-01,P84665,AL-SHIFA MEDICAL CENTRE,2775
2015-01-01,P84669,CORNBROOK MEDICAL PRACTICE,10298
2015-01-01,P84672,WOODLANDS MEDICAL PRACTICE,3058
2015-01-01,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,9316
2015-01-01,P84676,OSWALD ROAD MEDICAL PRACTICE,4495
2015-01-01,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,13170
2015-01-01,P84679,WILLOWBANK SURGERY,1628
2015-01-01,P84682,BURNAGE HEALTHCARE PRACTICE,2308
2015-01-01,P84683,THE DOC'S SURGERY,6360
2015-01-01,P84684,JOLLY MEDICAL CENTRE,3170
2015-01-01,P84689,LONGSIGHT MEDICAL PRACTICE,4833
2015-01-01,P84690,DAM HEAD MEDICAL CENTRE,2640
2015-01-01,Y01695,MP VICTORIA MILL,2438
2015-01-01,Y02325,CHARLESTOWN MD,3279
2015-01-01,Y02520,SIMPSON MEDICAL PRACTICE,4870
2015-01-01,Y02849,CITY HEALTH CENTRE,7461
2015-01-01,Y02890,HAWTHORN MC,4076
2015-01-01,Y02960,NEW BANK HEALTH,4977
2015-02-01,P84004,FIVE OAKS FAMILIY PRACTICE,8814
2015-02-01,P84005,THE VALLANCE CENTRE,7190
2015-02-01,P84009,AILSA CRAIG MEDICAL CENTRE,9336
2015-02-01,P84010,THE BORCHARDT MEDICAL CENTRE,11029
2015-02-01,P84012,NORTHENDEN GROUP PRACTICE,11016
2015-02-01,P84014,RK MEDICAL PRACTICE,4300
2015-02-01,P84016,LEVENSHULME MEDICAL PRACTICE,6889
2015-02-01,P84017,LADYBARN GROUP PRACTICE,10268
2015-02-01,P84018,MAULDETH MEDICAL CENTRE,5991
2015-02-01,P84019,VALENTINE MEDICAL CENTRE,10519
2015-02-01,P84020,PEEL HALL MEDICAL CENTRE,8378
2015-02-01,P84021,THE MAPLES MEDICAL CENTRE,7724
2015-02-01,P84022,KINGSWAY MEDICAL PRACTICE,5831
2015-02-01,P84023,SURREY LODGE PRACTICE,8320
2015-02-01,P84024,BOWLAND MEDICAL PRACTICE,7558
2015-02-01,P84025,ST GEORGE'S MEDICAL CENTRE,7065
2015-02-01,P84026,DICKENSON ROAD MEDICAL CENTRE,6361
2015-02-01,P84027,WEST POINT MEDICAL CENTRE,7232
2015-02-01,P84028,GORTON MEDICAL CENTRE,8257
2015-02-01,P84029,BENCHILL MEDICAL PRACTICE,9432
2015-02-01,P84030,NEW COLLEGIATE MEDICAL CENTRE,13073
2015-02-01,P84032,DRS HANIF & BANNURU,6482
2015-02-01,P84033,BEACON MEDICAL CENTRE,3834
2015-02-01,P84034,BARLOW MEDICAL CENTRE,13439
2015-02-01,P84035,BODEY MEDICAL CENTRE,16592
2015-02-01,P84037,DR CUNNINGHAM & PARTNERS,6913
2015-02-01,P84038,ASHVILLE SURGERY,7955
2015-02-01,P84039,THE RANGE MEDICAL CENTRE,8179
2015-02-01,P84040,CONRAN MEDICAL CENTRE,4977
2015-02-01,P84041,CORNERSTONE FAMILY PRACTICE,6118
2015-02-01,P84042,FLORENCE HOUSE MEDICAL PRACTICE,7881
2015-02-01,P84043,CORNISHWAY GROUP PRACTICE,8832
2015-02-01,P84045,THE PARK MEDICAL CENTRE,5114
2015-02-01,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,9720
2015-02-01,P84047,DROYLSDEN RD FAMILY PRACTICE,4853
2015-02-01,P84048,TREGENNA GROUP PRACTICE,6570
2015-02-01,P84049,THE AVENUE MEDICAL CENTRE,9872
2015-02-01,P84050,MOUNT ROAD SURGERY,7277
2015-02-01,P84051,EASTLANDS MEDICAL CENTRE,5288
2015-02-01,P84052,WEST GORTON MEDICAL PRACTICE,6322
2015-02-01,P84053,ASHCROFT SURGERY,7974
2015-02-01,P84054,WHITLEY ROAD MEDICAL CENTRE,6599
2015-02-01,P84055,MERSEYBANK SURGERY,2593
2015-02-01,P84056,PRINCESS ROAD SURGERY,4505
2015-02-01,P84059,LIME SQUARE MEDICAL CENTRE,5728
2015-02-01,P84061,BROOKLANDS MEDICAL PRACTICE,5543
2015-02-01,P84062,BROOKDALE SURGERY,2825
2015-02-01,P84064,NEW ISLINGTON MEDICAL CENTRE,3887
2015-02-01,P84065,THE SINGH MEDICAL PRACTICE,3699
2015-02-01,P84066,DAVID MEDICAL CENTRE,4146
2015-02-01,P84067,HAZELDENE MEDICAL CENTRE,6571
2015-02-01,P84068,CHORLTON FAMILY PRACTICE,9731
2015-02-01,P84070,NEWTON HEATH MEDICAL CENTRE,5452
2015-02-01,P84071,WILBRAHAM SURGERY,4196
2015-02-01,P84072,THE ROBERT DARBISHIRE PRACTICE,19797
2015-02-01,P84074,WELLFIELD MEDICAL CENTRE,9588
2015-02-01,P84605,FERNCLOUGH SURGERY,2159
2015-02-01,P84611,"DR CHIU, KOH AND GAN",5842
2015-02-01,P84616,MANCHESTER MEDICAL,6539
2015-02-01,P84623,ALEESHAN MEDICAL CENTRE,1304
2015-02-01,P84626,WILMSLOW ROAD SURGERY,4654
2015-02-01,P84627,DR TIWARI'S PRACTICE,1862
2015-02-01,P84630,THE ARCH MEDICAL PRACTICE,12762
2015-02-01,P84631,ARTANE MEDICAL CENTRE,1996
2015-02-01,P84635,THE WHITSWOOD PRACTICE,3523
2015-02-01,P84637,DR KHAN'S PRACTICE,2559
2015-02-01,P84639,FALLOWFIELD MEDICAL CENTRE,2118
2015-02-01,P84640,QUEENS MEDICAL CENTRE,3100
2015-02-01,P84644,PARKSIDE SURGERY,3872
2015-02-01,P84645,PARK VIEW MEDICAL CENTRE,6236
2015-02-01,P84650,THE ALEXANDRA PRACTICE,5895
2015-02-01,P84651,NORTHERN MOOR MEDICAL PRACTICE,2953
2015-02-01,P84652,CORKLAND ROAD MEDICAL PRACTICE,6883
2015-02-01,P84663,THE NEVILLE FAMILY CENTRE,4028
2015-02-01,P84665,AL-SHIFA MEDICAL CENTRE,2775
2015-02-01,P84669,CORNBROOK MEDICAL PRACTICE,10298
2015-02-01,P84672,WOODLANDS MEDICAL PRACTICE,3058
2015-02-01,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,9316
2015-02-01,P84676,OSWALD ROAD MEDICAL PRACTICE,4495
2015-02-01,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,13170
2015-02-01,P84679,WILLOWBANK SURGERY,1628
2015-02-01,P84682,BURNAGE HEALTHCARE PRACTICE,2308
2015-02-01,P84683,THE DOC'S SURGERY,6360
2015-02-01,P84684,JOLLY MEDICAL CENTRE,3170
2015-02-01,P84689,LONGSIGHT MEDICAL PRACTICE,4833
2015-02-01,P84690,DAM HEAD MEDICAL CENTRE,2640
2015-02-01,Y01695,MP VICTORIA MILL,2438
2015-02-01,Y02325,CHARLESTOWN MD,3279
2015-02-01,Y02520,SIMPSON MEDICAL PRACTICE,4870
2015-02-01,Y02849,CITY HEALTH CENTRE,7461
2015-02-01,Y02890,HAWTHORN MC,4076
2015-02-01,Y02960,NEW BANK HEALTH,4977
2015-03-01,P84004,FIVE OAKS FAMILIY PRACTICE,8814
2015-03-01,P84005,THE VALLANCE CENTRE,7190
2015-03-01,P84009,AILSA CRAIG MEDICAL CENTRE,9336
2015-03-01,P84010,THE BORCHARDT MEDICAL CENTRE,11029
2015-03-01,P84012,NORTHENDEN GROUP PRACTICE,11016
2015-03-01,P84014,RK MEDICAL PRACTICE,4300
2015-03-01,P84016,LEVENSHULME MEDICAL PRACTICE,6889
2015-03-01,P84017,LADYBARN GROUP PRACTICE,10268
2015-03-01,P84018,MAULDETH MEDICAL CENTRE,5991
2015-03-01,P84019,VALENTINE MEDICAL CENTRE,10519
2015-03-01,P84020,PEEL HALL MEDICAL CENTRE,8378
2015-03-01,P84021,THE MAPLES MEDICAL CENTRE,7724
2015-03-01,P84022,KINGSWAY MEDICAL PRACTICE,5831
2015-03-01,P84023,SURREY LODGE PRACTICE,8320
2015-03-01,P84024,BOWLAND MEDICAL PRACTICE,7558
2015-03-01,P84025,ST GEORGE'S MEDICAL CENTRE,7065
2015-03-01,P84026,DICKENSON ROAD MEDICAL CENTRE,6361
2015-03-01,P84027,WEST POINT MEDICAL CENTRE,7232
2015-03-01,P84028,GORTON MEDICAL CENTRE,8257
2015-03-01,P84029,BENCHILL MEDICAL PRACTICE,9432
2015-03-01,P84030,NEW COLLEGIATE MEDICAL CENTRE,13073
2015-03-01,P84032,DRS HANIF & BANNURU,6482
2015-03-01,P84033,BEACON MEDICAL CENTRE,3834
2015-03-01,P84034,BARLOW MEDICAL CENTRE,13439
2015-03-01,P84035,BODEY MEDICAL CENTRE,16592
2015-03-01,P84037,DR CUNNINGHAM & PARTNERS,6913
2015-03-01,P84038,ASHVILLE SURGERY,7955
2015-03-01,P84039,THE RANGE MEDICAL CENTRE,8179
2015-03-01,P84040,CONRAN MEDICAL CENTRE,4977
2015-03-01,P84041,CORNERSTONE FAMILY PRACTICE,6118
2015-03-01,P84042,FLORENCE HOUSE MEDICAL PRACTICE,7881
2015-03-01,P84043,CORNISHWAY GROUP PRACTICE,8832
2015-03-01,P84045,THE PARK MEDICAL CENTRE,5114
2015-03-01,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,9720
2015-03-01,P84047,DROYLSDEN RD FAMILY PRACTICE,4853
2015-03-01,P84048,TREGENNA GROUP PRACTICE,6570
2015-03-01,P84049,THE AVENUE MEDICAL CENTRE,9872
2015-03-01,P84050,MOUNT ROAD SURGERY,7277
2015-03-01,P84051,EASTLANDS MEDICAL CENTRE,5288
2015-03-01,P84052,WEST GORTON MEDICAL PRACTICE,6322
2015-03-01,P84053,ASHCROFT SURGERY,7974
2015-03-01,P84054,WHITLEY ROAD MEDICAL CENTRE,6599
2015-03-01,P84055,MERSEYBANK SURGERY,2593
2015-03-01,P84056,PRINCESS ROAD SURGERY,4505
2015-03-01,P84059,LIME SQUARE MEDICAL CENTRE,5728
2015-03-01,P84061,BROOKLANDS MEDICAL PRACTICE,5543
2015-03-01,P84062,BROOKDALE SURGERY,2825
2015-03-01,P84064,NEW ISLINGTON MEDICAL CENTRE,3887
2015-03-01,P84065,THE SINGH MEDICAL PRACTICE,3699
2015-03-01,P84066,DAVID MEDICAL CENTRE,4146
2015-03-01,P84067,HAZELDENE MEDICAL CENTRE,6571
2015-03-01,P84068,CHORLTON FAMILY PRACTICE,9731
2015-03-01,P84070,NEWTON HEATH MEDICAL CENTRE,5452
2015-03-01,P84071,WILBRAHAM SURGERY,4196
2015-03-01,P84072,THE ROBERT DARBISHIRE PRACTICE,19797
2015-03-01,P84074,WELLFIELD MEDICAL CENTRE,9588
2015-03-01,P84605,FERNCLOUGH SURGERY,2159
2015-03-01,P84611,"DR CHIU, KOH AND GAN",5842
2015-03-01,P84616,MANCHESTER MEDICAL,6539
2015-03-01,P84623,ALEESHAN MEDICAL CENTRE,1304
2015-03-01,P84626,WILMSLOW ROAD SURGERY,4654
2015-03-01,P84627,DR TIWARI'S PRACTICE,1862
